Tissue	Cell type	Negative Gene Names
heart muscle	smooth muscle cells	['SLC5A1', 'AQP1', 'PDGFRA', 'NOTCH1', 'SIRPA', 'CD36', 'THY1', 'DDR2']
heart muscle	endothelial cells	['SLC5A1', 'AQP1', 'PDGFRA', 'NOTCH1', 'SIRPA', 'CD36', 'THY1', 'DDR2']
colon	paneth cells	['ALCAM']
vascular	smooth muscle cells	['TGFBR2', 'TIE1', 'PECAM1', 'HSPG2', 'LIFR', 'NRP2', 'FLT4', 'HYAL2', 'EMP1', 'PROCR', 'STAB1', 'TSPAN8', 'CDH5', 'DPP4', 'AQP1', 'THSD1', 'PLVAP', 'VCAM1', 'MCAM', 'APLNR', 'CD36', 'THBD', 'TEK', 'PODXL', 'CD55', 'SEMA7A', 'NPR1', 'CLEC1B', 'CD34', 'ITGB3', 'SLC7A5', 'CALCRL', 'ICAM2', 'PTPRB', 'CD82', 'RAMP3', 'CLEC14A', 'SLC2A1', 'FLT1', 'ICAM1', 'ECE1', 'ENG']
eye	rod photoreceptor cells	['TPBG', 'CNTNAP2', 'NTNG1']
small intestine	intestinal goblet cells	['IL4R', 'TLR9', 'ALCAM']
skin	smooth muscle cells	['FAP', 'THY1', 'VIM', 'HLA-DRA', 'TLR2', 'DPP4', 'ENPP1', 'HLA-DQB2', 'TLR4', 'SLC45A2', 'COL6A2', 'HLA-DQB1', 'HLA-DRB5', 'MXRA8', 'HLA-DRB1', 'CTNS', 'FCGR1A', 'HLA-DQA1', 'APCDD1', 'ACHE', 'DCT', 'PTPRC', 'PDGFRA', 'GPNMB', 'ATP1B1', 'TLR9', 'FCGR2A', 'CD36', 'CD80', 'TYRP1', 'EPCAM', 'HLA-DQA2']
skin	suprabasal keratinocytes	['FAP', 'THY1', 'VIM', 'HLA-DRA', 'TLR2', 'DPP4', 'ENPP1', 'HLA-DQB2', 'TLR4', 'SLC45A2', 'COL6A2', 'HLA-DQB1', 'HLA-DRB5', 'MXRA8', 'HLA-DRB1', 'CTNS', 'FCGR1A', 'HLA-DQA1', 'APCDD1', 'ACHE', 'DCT', 'PTPRC', 'PDGFRA', 'GPNMB', 'ATP1B1', 'TLR9', 'FCGR2A', 'CD36', 'CD80', 'TYRP1', 'EPCAM', 'HLA-DQA2']
skin	melanocytes	['FAP', 'THY1', 'HLA-DRA', 'TLR2', 'DPP4', 'HLA-DQB2', 'TLR4', 'COL6A2', 'HLA-DQB1', 'HLA-DRB5', 'MXRA8', 'HLA-DRB1', 'FCGR1A', 'HLA-DQA1', 'APCDD1', 'ACHE', 'PTPRC', 'PDGFRA', 'GPNMB', 'TLR9', 'FCGR2A', 'CD36', 'CD80', 'VIM', 'EPCAM', 'HLA-DQA2']
skin	endothelial cells	['FAP', 'THY1', 'VIM', 'HLA-DRA', 'TLR2', 'DPP4', 'ENPP1', 'HLA-DQB2', 'TLR4', 'SLC45A2', 'COL6A2', 'HLA-DQB1', 'HLA-DRB5', 'MXRA8', 'HLA-DRB1', 'CTNS', 'FCGR1A', 'HLA-DQA1', 'APCDD1', 'ACHE', 'DCT', 'PTPRC', 'PDGFRA', 'GPNMB', 'ATP1B1', 'TLR9', 'FCGR2A', 'CD36', 'CD80', 'TYRP1', 'EPCAM', 'HLA-DQA2']
skin	basal keratinocytes	['FAP', 'THY1', 'VIM', 'HLA-DRA', 'TLR2', 'DPP4', 'ENPP1', 'HLA-DQB2', 'TLR4', 'SLC45A2', 'COL6A2', 'HLA-DQB1', 'HLA-DRB5', 'MXRA8', 'HLA-DRB1', 'CTNS', 'FCGR1A', 'HLA-DQA1', 'APCDD1', 'ACHE', 'DCT', 'PTPRC', 'PDGFRA', 'GPNMB', 'ATP1B1', 'TLR9', 'FCGR2A', 'CD36', 'CD80', 'TYRP1', 'EPCAM', 'HLA-DQA2']
skin	fibroblasts	['HLA-DRA', 'TLR2', 'ENPP1', 'HLA-DQB2', 'TLR4', 'SLC45A2', 'HLA-DQB1', 'HLA-DRB5', 'HLA-DRB1', 'CTNS', 'FCGR1A', 'HLA-DQA1', 'ACHE', 'DCT', 'PTPRC', 'GPNMB', 'ATP1B1', 'TLR9', 'FCGR2A', 'CD80', 'TYRP1', 'EPCAM', 'HLA-DQA2']
adipose tissue	fibroblasts	['TLR2', 'TLR4', 'MPZL1', 'EGFR', 'SLC2A4', 'ADRB2', 'LRP1', 'STEAP4', 'AOC3', 'FZD4', 'TNFRSF9', 'SLC1A5', 'ADAM12', 'COL6A2', 'TMEM26']
pancreas	exocrine glandular cells	['FAP', 'AQP1', 'TSPAN8', 'TACSTD2', 'AMBP', 'THY1']
pancreas	pancreatic endocrine cells	['FAP', 'AQP1', 'TSPAN8', 'TACSTD2', 'AMBP', 'THY1']
pancreas	endothelial cells	['FAP', 'AQP1', 'TSPAN8', 'TACSTD2', 'AMBP', 'THY1']
pancreas	fibroblasts	['AQP1', 'AMBP', 'TSPAN8', 'TACSTD2']
lung	alveolar cells type 2	['FAP', 'CD163', 'PDGFRA', 'GPRC5A', 'P2RX7', 'EMP2', 'PDGFRB', 'COL6A2', 'CD34', 'ICAM1', 'VIM', 'CD36', 'PTPRC', 'THY1', 'DDR2']
testis	sertoli cells	['PTCH1', 'EDNRA', 'PLAUR', 'THBS2']
ovary	oocytes	['MCAM', 'GAPDH']
ovary	smooth muscle cells	['MCAM', 'GAPDH']
ovary	ovarian stromal cells	['MCAM', 'GAPDH']
ovary	lymphatic endothelial cells	['MCAM', 'GAPDH']
ovary	endothelial cells	['MCAM', 'GAPDH']
breast	smooth muscle cells	['SLC1A5', 'ADRB2', 'TLR2', 'AOC3', 'PDGFRB', 'ADAM12', 'FZD4', 'TLR4', 'LRP1', 'COL6A2', 'TMEM26', 'MPZL1', 'EGFR', 'TNFRSF9', 'PDGFRA', 'STEAP4', 'SLC2A4', 'ITGB1', 'THY1']
breast	breast glandular cells	['SLC1A5', 'ADRB2', 'TLR2', 'AOC3', 'PDGFRB', 'ADAM12', 'FZD4', 'TLR4', 'LRP1', 'COL6A2', 'TMEM26', 'MPZL1', 'EGFR', 'TNFRSF9', 'PDGFRA', 'STEAP4', 'SLC2A4', 'ITGB1', 'THY1']
breast	breast myoepithelial cells	['SLC1A5', 'ADRB2', 'TLR2', 'AOC3', 'PDGFRB', 'ADAM12', 'FZD4', 'TLR4', 'LRP1', 'COL6A2', 'TMEM26', 'MPZL1', 'EGFR', 'TNFRSF9', 'PDGFRA', 'STEAP4', 'SLC2A4', 'ITGB1', 'THY1']
breast	endothelial cells	['SLC1A5', 'ADRB2', 'TLR2', 'AOC3', 'PDGFRB', 'ADAM12', 'FZD4', 'TLR4', 'LRP1', 'COL6A2', 'TMEM26', 'MPZL1', 'EGFR', 'TNFRSF9', 'PDGFRA', 'STEAP4', 'SLC2A4', 'ITGB1', 'THY1']
breast	fibroblasts	['TLR2', 'TLR4', 'MPZL1', 'EGFR', 'SLC2A4', 'ADRB2', 'LRP1', 'STEAP4', 'AOC3', 'FZD4', 'TNFRSF9', 'SLC1A5', 'ADAM12', 'COL6A2', 'TMEM26']
skin	langerhans cells	['FAP', 'ENPP1', 'THY1', 'PDGFRA', 'GPNMB', 'APCDD1', 'VIM', 'ATP1B1', 'SLC45A2', 'COL6A2', 'DCT', 'MXRA8', 'DPP4', 'TYRP1', 'CD36', 'CTNS']
brain	astrocytes	['HEPACAM', 'TMEM63A', 'LRRN1', 'EPHB1', 'TSPAN15', 'ALCAM', 'PDGFRA', 'OPCML', 'THY1', 'GRIA2', 'RTN4', 'CDH13', 'S1PR5', 'PCDH15', 'PCDH9', 'EVI2A', 'ITGB4', 'UGT8', 'CSPG4', 'CNTNAP2', 'MCAM', 'ERBB3', 'EFNB3', 'NPC1', 'TYRO3', 'SEMA4D', 'P2RX7', 'BACE1', 'FGFR2', 'CXADR']
breast	adipocytes	['PDGFRA', 'PDGFRB', 'ITGB1', 'THY1']
stomach	gastric mucus-secreting cells	['FAP', 'PDGFRB', 'COL6A2', 'CSPG4', 'PDGFRA', 'ITGB1', 'VIM', 'THY1']
pancreas	ductal cells	['FAP', 'THY1']
esophagus	schwann cells	['VIM', 'THY1']
esophagus	squamous epithelial cells	['VIM', 'THY1']
esophagus	smooth muscle cells	['VIM', 'THY1']
esophagus	endothelial cells	['VIM', 'THY1']
esophagus	basal squamous epithelial cells	['VIM', 'THY1']
placenta	cytotrophoblasts	['CD63']
placenta	hofbauer cells	['CD63']
placenta	smooth muscle cells	['CD63']
placenta	endothelial cells	['CD63']
placenta	extravillous trophoblasts	['CD63']
placenta	fibroblasts	['CD63']
thymus	mesothelial cells	['FAP', 'PDGFRA']
thymus	endothelial cells	['FAP', 'PDGFRA']
thymus	smooth muscle cells	['FAP', 'PDGFRA']
heart muscle	cardiomyocytes	['THY1', 'PDGFRA', 'DDR2']
skeletal muscle	smooth muscle cells	['PDGFRA']
skeletal muscle	endothelial cells	['PDGFRA']
skeletal muscle	skeletal myocytes	['PDGFRA']
