Tissue	Cell type	Negative Gene Names
heart muscle	smooth muscle cells	['CD36', 'AQP1', 'DDR2', 'SLC5A1', 'THY1', 'NOTCH1', 'SIRPA', 'PDGFRA']
heart muscle	endothelial cells	['CD36', 'AQP1', 'DDR2', 'SLC5A1', 'THY1', 'NOTCH1', 'SIRPA', 'PDGFRA']
heart muscle	fibroblasts	['CD36', 'NOTCH1', 'AQP1', 'SLC5A1', 'SIRPA']
colon	paneth cells	['ALCAM']
vascular	smooth muscle cells	['CLEC1B', 'RAMP3', 'TGFBR2', 'TEK', 'PROCR', 'VCAM1', 'CD36', 'HYAL2', 'FLT1', 'PTPRB', 'CD82', 'ICAM1', 'HSPG2', 'STAB1', 'FLT4', 'TSPAN8', 'SLC2A1', 'NRP2', 'AQP1', 'CD55', 'CD34', 'SEMA7A', 'APLNR', 'TIE1', 'MCAM', 'CLEC14A', 'ECE1', 'THSD1', 'ITGB3', 'ENG', 'CALCRL', 'NPR1', 'CDH5', 'DPP4', 'PODXL', 'SLC7A5', 'ICAM2', 'EMP1', 'LIFR', 'THBD', 'PECAM1', 'PLVAP']
eye	rod photoreceptor cells	['TPBG', 'CNTNAP2', 'NTNG1']
small intestine	intestinal goblet cells	['IL4R', 'TLR9', 'ALCAM']
skin	endothelial cells	['DCT', 'DPP4', 'HLA-DQA1', 'THY1', 'APCDD1', 'FAP', 'ENPP1', 'FCGR2A', 'HLA-DQA2', 'MXRA8', 'EPCAM', 'SLC45A2', 'VIM', 'HLA-DQB2', 'PDGFRA', 'CD80', 'CD36', 'TLR9', 'HLA-DRA', 'HLA-DQB1', 'CTNS', 'HLA-DRB5', 'TLR2', 'COL6A2', 'GPNMB', 'PTPRC', 'ATP1B1', 'TLR4', 'TYRP1', 'HLA-DRB1', 'FCGR1A', 'ACHE']
skin	fibroblasts	['DCT', 'HLA-DQA1', 'ENPP1', 'FCGR2A', 'HLA-DQA2', 'EPCAM', 'SLC45A2', 'HLA-DQB2', 'CD80', 'TLR9', 'HLA-DRA', 'HLA-DQB1', 'CTNS', 'HLA-DRB5', 'TLR2', 'GPNMB', 'PTPRC', 'ATP1B1', 'TLR4', 'TYRP1', 'HLA-DRB1', 'FCGR1A', 'ACHE']
skin	suprabasal keratinocytes	['DCT', 'DPP4', 'HLA-DQA1', 'THY1', 'APCDD1', 'FAP', 'ENPP1', 'FCGR2A', 'HLA-DQA2', 'MXRA8', 'EPCAM', 'SLC45A2', 'VIM', 'HLA-DQB2', 'PDGFRA', 'CD80', 'CD36', 'TLR9', 'HLA-DRA', 'HLA-DQB1', 'CTNS', 'HLA-DRB5', 'TLR2', 'COL6A2', 'GPNMB', 'PTPRC', 'ATP1B1', 'TLR4', 'TYRP1', 'HLA-DRB1', 'FCGR1A', 'ACHE']
skin	melanocytes	['DPP4', 'HLA-DQA1', 'THY1', 'APCDD1', 'FAP', 'FCGR2A', 'HLA-DQA2', 'MXRA8', 'EPCAM', 'VIM', 'HLA-DQB2', 'PDGFRA', 'CD80', 'CD36', 'TLR9', 'HLA-DRA', 'HLA-DQB1', 'HLA-DRB5', 'TLR2', 'COL6A2', 'GPNMB', 'PTPRC', 'TLR4', 'HLA-DRB1', 'FCGR1A', 'ACHE']
skin	smooth muscle cells	['DCT', 'DPP4', 'HLA-DQA1', 'THY1', 'APCDD1', 'FAP', 'ENPP1', 'FCGR2A', 'HLA-DQA2', 'MXRA8', 'EPCAM', 'SLC45A2', 'VIM', 'HLA-DQB2', 'PDGFRA', 'CD80', 'CD36', 'TLR9', 'HLA-DRA', 'HLA-DQB1', 'CTNS', 'HLA-DRB5', 'TLR2', 'COL6A2', 'GPNMB', 'PTPRC', 'ATP1B1', 'TLR4', 'TYRP1', 'HLA-DRB1', 'FCGR1A', 'ACHE']
skin	basal keratinocytes	['DCT', 'DPP4', 'HLA-DQA1', 'THY1', 'APCDD1', 'FAP', 'ENPP1', 'FCGR2A', 'HLA-DQA2', 'MXRA8', 'EPCAM', 'SLC45A2', 'VIM', 'HLA-DQB2', 'PDGFRA', 'CD80', 'CD36', 'TLR9', 'HLA-DRA', 'HLA-DQB1', 'CTNS', 'HLA-DRB5', 'TLR2', 'COL6A2', 'GPNMB', 'PTPRC', 'ATP1B1', 'TLR4', 'TYRP1', 'HLA-DRB1', 'FCGR1A', 'ACHE']
adipose tissue	fibroblasts	['COL6A2', 'TLR4', 'EGFR', 'AOC3', 'FZD4', 'ADAM12', 'TNFRSF9', 'STEAP4', 'TMEM26', 'TLR2', 'ADRB2', 'MPZL1', 'SLC1A5', 'SLC2A4', 'LRP1']
pancreas	pancreatic endocrine cells	['AQP1', 'TACSTD2', 'THY1', 'AMBP', 'FAP', 'TSPAN8']
pancreas	endothelial cells	['AQP1', 'TACSTD2', 'THY1', 'AMBP', 'FAP', 'TSPAN8']
pancreas	fibroblasts	['AMBP', 'TACSTD2', 'TSPAN8', 'AQP1']
pancreas	exocrine glandular cells	['AQP1', 'TACSTD2', 'THY1', 'AMBP', 'FAP', 'TSPAN8']
lung	alveolar cells type 2	['CD36', 'PTPRC', 'COL6A2', 'CD163', 'GPRC5A', 'DDR2', 'P2RX7', 'VIM', 'THY1', 'ICAM1', 'CD34', 'PDGFRB', 'FAP', 'EMP2', 'PDGFRA']
testis	sertoli cells	['PTCH1', 'THBS2', 'EDNRA', 'PLAUR']
ovary	oocytes	['GAPDH', 'MCAM']
ovary	endothelial cells	['GAPDH', 'MCAM']
ovary	smooth muscle cells	['GAPDH', 'MCAM']
ovary	lymphatic endothelial cells	['GAPDH', 'MCAM']
ovary	ovarian stromal cells	['GAPDH', 'MCAM']
breast	breast myoepithelial cells	['EGFR', 'THY1', 'AOC3', 'PDGFRB', 'TMEM26', 'FZD4', 'ADAM12', 'MPZL1', 'TNFRSF9', 'PDGFRA', 'STEAP4', 'TLR2', 'COL6A2', 'ADRB2', 'SLC1A5', 'TLR4', 'SLC2A4', 'ITGB1', 'LRP1']
breast	endothelial cells	['EGFR', 'THY1', 'AOC3', 'PDGFRB', 'TMEM26', 'FZD4', 'ADAM12', 'MPZL1', 'TNFRSF9', 'PDGFRA', 'STEAP4', 'TLR2', 'COL6A2', 'ADRB2', 'SLC1A5', 'TLR4', 'SLC2A4', 'ITGB1', 'LRP1']
breast	breast glandular cells	['EGFR', 'THY1', 'AOC3', 'PDGFRB', 'TMEM26', 'FZD4', 'ADAM12', 'MPZL1', 'TNFRSF9', 'PDGFRA', 'STEAP4', 'TLR2', 'COL6A2', 'ADRB2', 'SLC1A5', 'TLR4', 'SLC2A4', 'ITGB1', 'LRP1']
breast	fibroblasts	['COL6A2', 'TLR4', 'EGFR', 'AOC3', 'FZD4', 'ADAM12', 'TNFRSF9', 'STEAP4', 'TMEM26', 'TLR2', 'ADRB2', 'MPZL1', 'LRP1', 'SLC1A5', 'SLC2A4']
breast	smooth muscle cells	['EGFR', 'THY1', 'AOC3', 'PDGFRB', 'TMEM26', 'FZD4', 'ADAM12', 'MPZL1', 'TNFRSF9', 'PDGFRA', 'STEAP4', 'TLR2', 'COL6A2', 'ADRB2', 'SLC1A5', 'TLR4', 'SLC2A4', 'ITGB1', 'LRP1']
skin	langerhans cells	['CD36', 'DCT', 'GPNMB', 'DPP4', 'COL6A2', 'ATP1B1', 'MXRA8', 'THY1', 'TYRP1', 'SLC45A2', 'CTNS', 'APCDD1', 'FAP', 'VIM', 'PDGFRA', 'ENPP1']
brain	astrocytes	['TYRO3', 'CDH13', 'PDGFRA', 'UGT8', 'FGFR2', 'RTN4', 'ITGB4', 'SEMA4D', 'ERBB3', 'NPC1', 'GRIA2', 'P2RX7', 'S1PR5', 'BACE1', 'EFNB3', 'EVI2A', 'PCDH15', 'MCAM', 'OPCML', 'EPHB1', 'LRRN1', 'TMEM63A', 'CSPG4', 'CNTNAP2', 'CXADR', 'THY1', 'PCDH9', 'ALCAM', 'HEPACAM', 'TSPAN15']
breast	adipocytes	['PDGFRA', 'THY1', 'ITGB1', 'PDGFRB']
stomach	gastric mucus-secreting cells	['THY1', 'FAP', 'PDGFRB', 'VIM', 'PDGFRA', 'CSPG4', 'COL6A2', 'ITGB1']
pancreas	ductal cells	['THY1', 'FAP']
esophagus	schwann cells	['VIM', 'THY1']
esophagus	endothelial cells	['VIM', 'THY1']
esophagus	basal squamous epithelial cells	['VIM', 'THY1']
esophagus	squamous epithelial cells	['VIM', 'THY1']
esophagus	smooth muscle cells	['VIM', 'THY1']
placenta	endothelial cells	['CD63']
placenta	fibroblasts	['CD63']
placenta	smooth muscle cells	['CD63']
placenta	hofbauer cells	['CD63']
placenta	extravillous trophoblasts	['CD63']
placenta	cytotrophoblasts	['CD63']
thymus	smooth muscle cells	['PDGFRA', 'FAP']
thymus	endothelial cells	['PDGFRA', 'FAP']
thymus	mesothelial cells	['PDGFRA', 'FAP']
heart muscle	cardiomyocytes	['PDGFRA', 'DDR2', 'THY1']
skeletal muscle	skeletal myocytes	['PDGFRA']
skeletal muscle	endothelial cells	['PDGFRA']
skeletal muscle	smooth muscle cells	['PDGFRA']
