cell,markers
thymus smooth muscle cells,"['SUSD2', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHGC5', 'UGT1A9', 'NTSR1', 'TPTE', 'KIR2DL3']"
tongue basal keratinocytes,"['SIGLEC5', 'PCDHGC5', 'TRBV12-3', 'TLR9', 'PCDHA11', 'KIR3DL1', 'PCDHA6', 'GP5', 'TRHR', 'UGT1A9']"
tongue endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHA11', 'PCDHA6', 'UGT1A9', 'PCDHGC5', 'CRLF2', 'NTSR1']"
tongue serous glandular cells,"['DNER', 'FNDC5', 'SLC6A14', 'IGHG4', 'HLA-DQB2', 'TNFRSF11A', 'DPP4', 'TIGIT', 'CCR4', 'CEACAM6']"
tongue smooth muscle cells,"['APCDD1', 'THBS2', 'SCARA5', 'CDH15', 'TRHR', 'UGT1A9', 'NTSR1', 'SIGLEC5', 'TRBV12-3', 'TLR9']"
tongue suprabasal keratinocytes,"['DSC2', 'LYPD3', 'CLCA2', 'RAET1G', 'EPHA1', 'PLA2G3', 'PROM2', 'LPAR5', 'LY6K', 'SIGLEC5']"
vascular endothelial cells,"['SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'PCDHGC5', 'TPTE', 'PCDHA11', 'KIR2DS4']"
vascular fibroblasts,"['SIGLEC5', 'TLR9', 'PCDHGC5', 'KIR3DL1', 'UGT1A9', 'NTSR1', 'KIR2DL3', 'TPTE', 'PCDHA11', 'KIR2DS4']"
vascular schwann cells,"['GPM6B', 'ITGB8', 'CDH19', 'MPZ', 'SCN7A', 'CHL1', 'SLC15A3', 'ITGB4', 'ITGA6', 'CADM4']"
vascular smooth muscle cells,"['ITGA8', 'SIGLEC5', 'TRBV12-3', 'TLR9', 'KIR3DL1', 'PCDHGC5', 'UGT1A9', 'TRHR', 'GP5', 'NTSR1']"
