Tissue	Cell type	Negative Gene Names
liver	hepatocytes	['GGT7', 'MSR1', 'TACSTD2', 'AQP1', 'JAG1', 'ITGB4', 'EPCAM', 'HFE', 'CD38', 'CLEC1B', 'SLC15A3', 'CD163', 'TLR4', 'CD14', 'GGT1', 'SLC4A2', 'ALPL', 'TLR9']
heart muscle	endothelial cells	['SIRPA', 'AQP1', 'CD36', 'DDR2', 'THY1', 'NOTCH1', 'PDGFRA', 'SLC5A1']
heart muscle	fibroblasts	['SLC5A1', 'AQP1', 'SIRPA', 'NOTCH1', 'CD36']
heart muscle	smooth muscle cells	['SIRPA', 'AQP1', 'CD36', 'DDR2', 'THY1', 'NOTCH1', 'PDGFRA', 'SLC5A1']
colon	paneth cells	['ALCAM', 'CDON', 'MUC4']
vascular	smooth muscle cells	['CALCRL', 'NRP2', 'CD55', 'LIFR', 'MCAM', 'ITGB3', 'CD82', 'ICAM1', 'CLEC1B', 'EMP1', 'TSPAN8', 'RAMP3', 'HSPG2', 'PECAM1', 'THSD1', 'VCAM1', 'STAB1', 'TGFBR2', 'APLNR', 'AQP1', 'PODXL', 'NPR1', 'TIE1', 'HYAL2', 'THBD', 'CLEC14A', 'ECE1', 'DPP4', 'SLC2A1', 'ENG', 'TEK', 'PLVAP', 'CD34', 'SEMA7A', 'FLT1', 'ICAM2', 'SLC7A5', 'CD36', 'PROCR', 'FLT4', 'PTPRB', 'CDH5']
eye	rod photoreceptor cells	['CNTNAP2', 'TPBG', 'NTNG1']
small intestine	intestinal goblet cells	['ALCAM', 'IL4R', 'TLR9']
skin	smooth muscle cells	['HLA-DRB5', 'VIM', 'THY1', 'ATP1B1', 'HLA-DRA', 'FAP', 'HLA-DRB1', 'APCDD1', 'CD80', 'SLC45A2', 'PDGFRA', 'EPCAM', 'FCGR2A', 'HLA-DQA2', 'CTNS', 'DPP4', 'TYRP1', 'CD36', 'MXRA8', 'ENPP1', 'FCGR1A', 'HLA-DQB2', 'GPNMB', 'HLA-DQA1', 'PTPRC', 'COL6A2', 'TLR2', 'ACHE', 'TLR4', 'DCT', 'HLA-DQB1', 'TLR9']
skin	suprabasal keratinocytes	['HLA-DRB5', 'VIM', 'THY1', 'ATP1B1', 'HLA-DRA', 'FAP', 'HLA-DRB1', 'APCDD1', 'CD80', 'SLC45A2', 'PDGFRA', 'EPCAM', 'FCGR2A', 'HLA-DQA2', 'CTNS', 'DPP4', 'TYRP1', 'CD36', 'MXRA8', 'ENPP1', 'FCGR1A', 'HLA-DQB2', 'GPNMB', 'HLA-DQA1', 'PTPRC', 'COL6A2', 'TLR2', 'ACHE', 'TLR4', 'DCT', 'HLA-DQB1', 'TLR9']
skin	endothelial cells	['HLA-DRB5', 'VIM', 'THY1', 'ATP1B1', 'HLA-DRA', 'FAP', 'HLA-DRB1', 'APCDD1', 'CD80', 'SLC45A2', 'PDGFRA', 'EPCAM', 'FCGR2A', 'HLA-DQA2', 'CTNS', 'DPP4', 'TYRP1', 'CD36', 'MXRA8', 'ENPP1', 'FCGR1A', 'HLA-DQB2', 'GPNMB', 'HLA-DQA1', 'PTPRC', 'COL6A2', 'TLR2', 'ACHE', 'TLR4', 'DCT', 'HLA-DQB1', 'TLR9']
skin	basal keratinocytes	['HLA-DRB5', 'VIM', 'THY1', 'ATP1B1', 'HLA-DRA', 'FAP', 'HLA-DRB1', 'APCDD1', 'CD80', 'SLC45A2', 'PDGFRA', 'EPCAM', 'FCGR2A', 'HLA-DQA2', 'CTNS', 'DPP4', 'TYRP1', 'CD36', 'MXRA8', 'ENPP1', 'FCGR1A', 'HLA-DQB2', 'GPNMB', 'HLA-DQA1', 'PTPRC', 'COL6A2', 'TLR2', 'ACHE', 'TLR4', 'DCT', 'HLA-DQB1', 'TLR9']
skin	fibroblasts	['HLA-DRB5', 'ATP1B1', 'HLA-DRA', 'HLA-DRB1', 'CD80', 'SLC45A2', 'EPCAM', 'FCGR2A', 'HLA-DQA2', 'CTNS', 'TYRP1', 'ENPP1', 'FCGR1A', 'GPNMB', 'HLA-DQB2', 'HLA-DQA1', 'PTPRC', 'TLR2', 'ACHE', 'DCT', 'TLR4', 'HLA-DQB1', 'TLR9']
skin	melanocytes	['HLA-DRB5', 'VIM', 'THY1', 'HLA-DRA', 'FAP', 'HLA-DRB1', 'APCDD1', 'CD80', 'PDGFRA', 'EPCAM', 'FCGR2A', 'HLA-DQA2', 'DPP4', 'CD36', 'MXRA8', 'FCGR1A', 'GPNMB', 'HLA-DQB2', 'HLA-DQA1', 'PTPRC', 'COL6A2', 'TLR2', 'ACHE', 'TLR4', 'HLA-DQB1', 'TLR9']
adipose tissue	fibroblasts	['LRP1', 'MPZL1', 'TLR4', 'SLC2A4', 'TNFRSF9', 'SLC1A5', 'EGFR', 'ADAM12', 'AOC3', 'STEAP4', 'TMEM26', 'COL6A2', 'FZD4', 'ADRB2', 'TLR2']
pancreas	endothelial cells	['AQP1', 'AMBP', 'THY1', 'TACSTD2', 'FAP', 'TSPAN8']
pancreas	exocrine glandular cells	['AQP1', 'AMBP', 'THY1', 'TACSTD2', 'FAP', 'TSPAN8']
pancreas	pancreatic endocrine cells	['AQP1', 'AMBP', 'THY1', 'TACSTD2', 'FAP', 'TSPAN8']
pancreas	fibroblasts	['AQP1', 'AMBP', 'TSPAN8', 'TACSTD2']
lung	alveolar cells type 2	['P2RX7', 'EMP2', 'VIM', 'CD36', 'DDR2', 'COL6A2', 'PTPRC', 'THY1', 'PDGFRA', 'CD34', 'PDGFRB', 'CD163', 'GPRC5A', 'ICAM1', 'FAP']
testis	sertoli cells	['PLAUR', 'THBS2', 'EDNRA', 'PTCH1']
ovary	oocytes	['GAPDH', 'MCAM']
ovary	lymphatic endothelial cells	['GAPDH', 'MCAM']
ovary	ovarian stromal cells	['GAPDH', 'MCAM']
ovary	smooth muscle cells	['GAPDH', 'MCAM']
ovary	endothelial cells	['GAPDH', 'MCAM']
breast	breast myoepithelial cells	['SLC2A4', 'THY1', 'TMEM26', 'TNFRSF9', 'SLC1A5', 'PDGFRA', 'EGFR', 'PDGFRB', 'ADAM12', 'AOC3', 'LRP1', 'STEAP4', 'ADRB2', 'ITGB1', 'MPZL1', 'COL6A2', 'TLR2', 'FZD4', 'TLR4']
breast	breast glandular cells	['SLC2A4', 'THY1', 'TMEM26', 'TNFRSF9', 'SLC1A5', 'PDGFRA', 'EGFR', 'PDGFRB', 'ADAM12', 'AOC3', 'LRP1', 'STEAP4', 'ADRB2', 'ITGB1', 'MPZL1', 'COL6A2', 'TLR2', 'FZD4', 'TLR4']
breast	smooth muscle cells	['SLC2A4', 'THY1', 'TMEM26', 'TNFRSF9', 'SLC1A5', 'PDGFRA', 'EGFR', 'PDGFRB', 'ADAM12', 'AOC3', 'LRP1', 'STEAP4', 'ADRB2', 'ITGB1', 'MPZL1', 'COL6A2', 'TLR2', 'FZD4', 'TLR4']
breast	endothelial cells	['SLC2A4', 'THY1', 'TMEM26', 'TNFRSF9', 'SLC1A5', 'PDGFRA', 'EGFR', 'PDGFRB', 'ADAM12', 'AOC3', 'LRP1', 'STEAP4', 'ADRB2', 'ITGB1', 'MPZL1', 'COL6A2', 'TLR2', 'FZD4', 'TLR4']
breast	fibroblasts	['LRP1', 'MPZL1', 'TLR4', 'SLC2A4', 'TNFRSF9', 'SLC1A5', 'EGFR', 'ADAM12', 'AOC3', 'STEAP4', 'TMEM26', 'COL6A2', 'FZD4', 'ADRB2', 'TLR2']
skin	langerhans cells	['VIM', 'DPP4', 'TYRP1', 'APCDD1', 'CD36', 'MXRA8', 'SLC45A2', 'THY1', 'ATP1B1', 'PDGFRA', 'COL6A2', 'ENPP1', 'DCT', 'GPNMB', 'FAP', 'CTNS']
brain	astrocytes	['BACE1', 'RTN4', 'MCAM', 'S1PR5', 'TYRO3', 'NPC1', 'CNTNAP2', 'THY1', 'CXADR', 'ERBB3', 'GRIA2', 'ITGB4', 'TMEM63A', 'P2RX7', 'HEPACAM', 'FGFR2', 'LRRN1', 'EVI2A', 'SEMA4D', 'ALCAM', 'CDH13', 'TSPAN15', 'EPHB1', 'OPCML', 'PDGFRA', 'PCDH15', 'CSPG4', 'UGT8', 'EFNB3', 'PCDH9']
breast	adipocytes	['ITGB1', 'THY1', 'PDGFRA', 'PDGFRB']
stomach	gastric mucus-secreting cells	['VIM', 'THY1', 'FAP', 'PDGFRA', 'PDGFRB', 'CSPG4', 'ITGB1', 'COL6A2']
pancreas	ductal cells	['THY1', 'FAP']
esophagus	basal squamous epithelial cells	['VIM', 'THY1']
esophagus	schwann cells	['VIM', 'THY1']
esophagus	squamous epithelial cells	['VIM', 'THY1']
esophagus	smooth muscle cells	['VIM', 'THY1']
esophagus	endothelial cells	['VIM', 'THY1']
placenta	extravillous trophoblasts	['CD63']
placenta	hofbauer cells	['CD63']
placenta	smooth muscle cells	['CD63']
placenta	endothelial cells	['CD63']
placenta	fibroblasts	['CD63']
placenta	cytotrophoblasts	['CD63']
thymus	endothelial cells	['PDGFRA', 'FAP']
thymus	smooth muscle cells	['PDGFRA', 'FAP']
thymus	mesothelial cells	['PDGFRA', 'FAP']
heart muscle	cardiomyocytes	['DDR2', 'THY1', 'PDGFRA']
skeletal muscle	endothelial cells	['PDGFRA']
skeletal muscle	skeletal myocytes	['PDGFRA']
skeletal muscle	smooth muscle cells	['PDGFRA']
