cell,markers
placenta extravillous trophoblasts,"['EFNA1', 'ABCA7', 'LY6K', 'ADAM12', 'SLCO4A1', 'ITGA5', 'CD276', 'IGSF8', 'PTPRF', 'SLC29A1']"
placenta syncytiotrophoblasts,"['ST3GAL4', 'LYPD3', 'SLC2A1', 'SLC38A9', 'APMAP', 'SLC26A2', 'CCR7', 'SLC19A1', 'SIGLEC6', 'SLC19A2']"
small intestine undifferentiated cells,"['SLC12A2', 'FGFRL1', 'EPHB3', 'EPHB2', 'FGFR4', 'CACNA2D2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'PCDHA6']"
thymus fibroblasts,"['LAMA2', 'SCARA5', 'LRP1', 'MPZ', 'PDGFRA', 'ABCA8', 'CDH19', 'PTPRS', 'FGFR1', 'ENTPD2']"
brain inhibitory neurons,"['CNTNAP2', 'SGCZ', 'ROBO1', 'CDH13', 'THSD7A', 'SDK1', 'TRHDE', 'CDH9', 'NTNG1', 'CACNA2D1']"
lung granulocytes,"['AREG', 'KIT', 'SIGLEC6', 'CD69', 'KCNH2', 'ATP6V0A2', 'NTRK1', 'HS6ST1', 'CD33', 'P2RX1']"
fallopian tube macrophages,"['PLAUR', 'HLA-DPA1', 'HLA-DRA', 'OLR1', 'HLA-DPB1', 'CD83', 'CD14', 'CYBB', 'CD163', 'MRC1']"
kidney macrophages,"['CD14', 'LRRC25', 'CLEC12A', 'LILRA5', 'PILRA', 'FCGR1A', 'CD86', 'LILRA1', 'FCGR3A', 'LILRB1']"
tongue smooth muscle cells,"['APCDD1', 'THBS2', 'LAMA2', 'PCDH18', 'GGT5', 'DDR2', 'CNTFR', 'LRRN4CL', 'CDH15', 'SIGLEC5']"
pbmc platelets,"['TAGLN2', 'CLU', 'CLEC1B', 'ITGB3', 'ITGA2B', 'TBXA2R', 'ACTN1', 'ESAM', 'CD226', 'JAM3']"
pbmc macrophages,"['CYBB', 'CLEC12A', 'BST1', 'IL17RA', 'KCNE3', 'CD302', 'OSCAR', 'EVI2A', 'VNN2', 'TLR4']"
liver t-cells,"['KLRB1', 'PRF1', 'CD7', 'KLRF1', 'CD3D', 'KLRC1', 'TRAC', 'IL2RB', 'CD2', 'CD160']"
salivary gland serous glandular cells,"['IL1R2', 'FCGR3B', 'FOLR1', 'VNN2', 'SORL1', 'DNER', 'RNF149', 'CR1', 'MCEMP1', 'ALPL']"
tongue suprabasal keratinocytes,"['KRT1', 'LYPD3', 'DSC2', 'EMP1', 'TACSTD2', 'CLCA2', 'F3', 'RAET1G', 'EPHA1', 'LY6K']"
skin melanocytes,"['DCT', 'TYRP1', 'BCAN', 'KIT', 'GPM6B', 'SLC6A15', 'GPR155', 'SLC1A4', 'PLXNC1', 'SLITRK2']"
breast endothelial cells,"['PKHD1L1', 'NRP2', 'FLT4', 'LRRC15', 'TNFRSF11A', 'SIGLEC5', 'TRHR', 'PCDHGC5', 'PCDHA11', 'UNC5A']"
salivary gland fibroblasts,"['LAMA2', 'CTSK', 'SCARA5', 'LEPR', 'ABCA8', 'FGFR1', 'MXRA8', 'FAP', 'GGT5', 'THBS2']"
kidney t-cells,"['CD3D', 'TRAC', 'TRBC1', 'PRF1', 'CD2', 'CD3G', 'KLRG1', 'IL2RG', 'KLRB1', 'S1PR5']"
bronchus club cells,"['CEACAM6', 'GPRC5A', 'TACSTD2', 'SLC6A14', 'CDCP1', 'CLEC2B', 'SLC6A8', 'SLC6A6', 'F3', 'CPD']"
prostate macrophages,"['CD163', 'SIGLEC10', 'SLC1A3', 'FCGR2A', 'HLA-DQA2', 'LAIR1', 'CLEC5A', 'CD1D', 'KCNK17', 'MERTK']"
salivary gland macrophages,"['CD163', 'MRC1', 'SLC1A3', 'CPM', 'CLEC5A', 'OLR1', 'SIGLEC10', 'MSR1', 'STAB1', 'SIGLEC1']"
lymph node b-cells,"['CD74', 'CD37', 'CD69', 'CD79A', 'CD83', 'MS4A1', 'FCER2', 'HLA-DRB1', 'CXCR5', 'CD19']"
endometrium ciliated cells,"['CHST6', 'IL5RA', 'CACNG6', 'DYNC2H1', 'TCTN2', 'SIGLEC5', 'PCDHGC5', 'TRHR', 'PCDHA11', 'TPTE']"
placenta cytotrophoblasts,"['FOLR1', 'SIGLEC6', 'BCAM', 'S1PR2', 'LRP2', 'MET', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR']"
brain oligodendrocytes,"['PCDH9', 'PDE4B', 'SLC44A1', 'UNC5C', 'UGT8', 'GPM6B', 'HHIP', 'APLP1', 'FGFR2', 'ABCA2']"
skin fibroblasts,"['CTSK', 'COL6A2', 'THBS2', 'LEPR', 'APCDD1', 'SCARA5', 'THY1', 'PDGFRA', 'CADM3', 'VASN']"
stomach macrophages,"['PLAUR', 'LILRA5', 'CYBB', 'CLEC12A', 'ITGAX', 'FCAR', 'CD86', 'TLR2', 'CD68', 'CD14']"
prostate t-cells,"['IL7R', 'CD2', 'CD69', 'CD3G', 'CD3D', 'KLRC1', 'CD96', 'CD160', 'SLAMF6', 'P2RY10']"
heart muscle fibroblasts,"['CDH19', 'SCN7A', 'SCARA5', 'ABCA8', 'LAMA2', 'DDR2', 'PDGFRA', 'ITGA11', 'SIGLEC5', 'PCDHGC5']"
brain oligodendrocyte precursor cells,"['PCDH15', 'PTPRZ1', 'SEMA5A', 'NLGN1', 'OPCML', 'CHST11', 'NLGN4X', 'LRRN1', 'PDGFRA', 'NRCAM']"
skin granulocytes,"['ENPP3', 'CRLF2', 'SIGLEC5', 'PCDHGC5', 'PCDHA11', 'TRHR', 'PCDHA6', 'TPTE', 'TMEFF1', 'PCDHGB4']"
vascular schwann cells,"['GPM6B', 'MPZ', 'CDH19', 'ITGB8', 'SCN7A', 'CHL1', 'ERBB3', 'L1CAM', 'GPR155', 'CADM4']"
endometrium t-cells,"['IL2RB', 'CD96', 'KLRB1', 'CD7', 'KLRC1', 'TMIGD2', 'TRBC1', 'CD2', 'NMUR1', 'FCRL6']"
esophagus squamous epithelial cells,"['TACSTD2', 'DSC2', 'LYPD3', 'MPZL2', 'CLCA2', 'ADRB2', 'EPHA1', 'PROM2', 'SLC6A11', 'FGFR3']"
fallopian tube fibroblasts,"['SLC2A1', 'COL6A2', 'THY1', 'PDGFRA', 'F3', 'AGTR2', 'ADRA2C', 'MRC2', 'MXRA8', 'JAM3']"
pbmc dendritic cells,"['IL3RA', 'EPHB1', 'CXCR3', 'TNFRSF21', 'CSF2RB', 'KCNK17', 'FLT3', 'SLC9A7', 'LAIR1', 'NPC1']"
skeletal muscle fibroblasts,"['COL6A2', 'ABCA8', 'THY1', 'CTSK', 'SCARA5', 'MRC2', 'MXRA8', 'ENPP1', 'SCN7A', 'EGFR']"
esophagus macrophages,"['STAB1', 'HLA-DRB5', 'CD68', 'SIGLEC1', 'CYBB', 'MSR1', 'ITGAM', 'FCGR2A', 'SIGLEC7', 'CMKLR1']"
pbmc nk-cells,"['KLRF1', 'PRF1', 'CD7', 'CD160', 'IL2RB', 'S1PR5', 'KLRC1', 'FCRL6', 'NMUR1', 'NCR3']"
testis early spermatids,"['IL13RA2', 'TMC7', 'SLC38A9', 'CLDN12', 'SIRPG', 'SLC38A6', 'SLC44A5', 'TLR3', 'CD19', 'EPHB1']"
fallopian tube t-cells,"['IL7R', 'CD7', 'KLRB1', 'CD2', 'TRBC1', 'CLEC2B', 'TRAC', 'CD96', 'KLRC1', 'CD3D']"
lymph node t-cells,"['IL7R', 'SELL', 'CD3D', 'CD2', 'CD6', 'CD3G', 'CCR7', 'CD5', 'CD28', 'GPR174']"
ovary oocytes,"['ADCY9', 'ZP4', 'MGAT5B', 'CHRNA3', 'IL3RA', 'SLC29A1', 'CACNA2D2', 'SLC29A4', 'RPN2', 'CDH4']"
